barcode,brand,category,size
0679541409155,No Brand,"Парфюмерия, парфюмерные наборы",100 мл
0679541412230,Symphony Signature,"Парфюмерия, парфюмерные наборы",100 мл
0679541412605,Symphony Signature,"Парфюмерия, парфюмерные наборы",80 мл
0679541449724,Symphony Signature,"Парфюмерия, парфюмерные наборы",100 мл
0679541478915,Symphony Signature,"Парфюмерия, парфюмерные наборы",100 мл
0679541494052,No Brand,"Парфюмерия, парфюмерные наборы",100 мл
0679541498074,Symphony Signature,"Парфюмерия, парфюмерные наборы",100 мл
0681619700262,theBalm,Компактная пудра,7.08 г
0681619805127,theBalm,Жидкая помада,
0681619805141,theBalm,Жидкая помада,7.4 мл
0681619805158,theBalm,Жидкая помада,7.4 мл
0681619805165,theBalm,Жидкая помада,7.4 мл
0681619807206,theBalm,Жидкая помада,7.4 мл
0681619807220,theBalm,Жидкая помада,7.4 мл
0681619817083,theBalm,"Корректор, консилер для лица",9 г
0681619818295,theBalm,"Подводка, лайнер для глаз",
0681619818677,theBalm,"Подводка, лайнер для глаз",
0681619818738,theBalm,Жидкая помада,7.4 мл
0681619818752,theBalm,Жидкая помада,
0681619818981,theBalm,Палетки для макияжа,10 г
0681619819032,theBalm,Карандаши для бровей,
0681619819070,theBalm,База для век,11.8 мл
0681619819407,theBalm,Блеск для губ,7 мл
0681619819414,theBalm,Блеск для губ,7 мл
0681619819445,theBalm,Блеск для губ,7 мл
0681619819476,theBalm,Блеск для губ,7 мл
0681619819636,theBalm,Масло для лица,30 мл
0681619819667,theBalm,Пенка и мусс для умывания,160 мл
0681619819674,theBalm,Крем для лица,30 мл
0681619819681,theBalm,Гель для кожи вокруг глаз,15 мл
0688575201901,Chloe,"Парфюмерия, парфюмерные наборы",30 мл
0690251000043,Jo Malone London,"Парфюмерия, парфюмерные наборы",100 мл
0695510475402,No Brand,"Парфюмерия, парфюмерные наборы",100 мл
0695510480307,Symphony Signature,"Парфюмерия, парфюмерные наборы",100 мл
0711716020434,Difeel,Шампунь,355 мл
0711716020441,Difeel,"Бальзам, кондиционер, ополаскиватель",355 мл
0711716021387,Difeel,Шампунь,354.9 мл
0711716071436,Difeel,Масло и крем для волос,45 мл
0711716122312,Difeel,Масло и крем для волос,75 мл
0711716122343,Difeel,Шампунь,355 мл
0711716122381,Difeel,Масло и крем для волос,75 мл
0711716122398,Difeel,"Бальзам, кондиционер, ополаскиватель",177 мл
0711716145014,Difeel,Масло и крем для волос,75 мл
0711716145373,Difeel,Масло и крем для волос,75 мл
0711716145441,Difeel,Маска для волос,340 мл
0711716146561,Difeel,Масло и крем для волос,75 мл
0711716163612,Difeel,"Лосьон, спрей, сыворотка для волос",75 мл
0711716315011,Difeel,Маска для волос,340 г
0711716315059,Difeel,Шампунь,354.9 мл
0711716315066,Difeel,"Бальзам, кондиционер, ополаскиватель",355 мл
0711716315103,Difeel,"Бальзам, кондиционер, ополаскиватель",177 мл
0711716322248,Difeel,"Бальзам, кондиционер, ополаскиватель",177 мл
