# Makiyaj Cosmetics (Azi Aslanov) - Part 25
Location: Azi Aslanov metro, Baku
Format: '- <product> | <price in AZN> | Заказать: <WhatsApp order link>'.
Total in part: 200
- Flormar Blush-on 110, 5.5 г — румяна | 10,5 AZN | Заказать: https://e-push-ai.vercel.app/api/go?to=https%3A%2F%2Fwa.me%2F994514553797%3Ftext%3DSalam%2521%2520Makiyaj%2520almaq%2520ist%25C9%2599yir%25C9%2599m%253A%2520FLORMAR%2520BLUSH-ON%2520110&t=FLORMAR%20BLUSH-ON%20110
- Flormar Bronzing Powder 002, 11 г — бронзер | 12,5 AZN | Заказать: https://e-push-ai.vercel.app/api/go?to=https%3A%2F%2Fwa.me%2F994514553797%3Ftext%3DSalam%2521%2520Makiyaj%2520almaq%2520ist%25C9%2599yir%25C9%2599m%253A%2520FLORMAR%2520BRONZING%2520POWDER%2520%2520002&t=FLORMAR%20BRONZING%20POWDER%20%20002
- Flormar Bronzing Powder 03, 11 г — бронзер | 12,5 AZN | Заказать: https://e-push-ai.vercel.app/api/go?to=https%3A%2F%2Fwa.me%2F994514553797%3Ftext%3DSalam%2521%2520Makiyaj%2520almaq%2520ist%25C9%2599yir%25C9%2599m%253A%2520FLORMAR%2520BRONZING%2520POWDER%2520%252003&t=FLORMAR%20BRONZING%20POWDER%20%2003
- Flormar Bronzing Powder 05, 11 г — бронзер | 12,5 AZN | Заказать: https://e-push-ai.vercel.app/api/go?to=https%3A%2F%2Fwa.me%2F994514553797%3Ftext%3DSalam%2521%2520Makiyaj%2520almaq%2520ist%25C9%2599yir%25C9%2599m%253A%2520FLORMAR%2520BRONZING%2520POWDER%2520%252005&t=FLORMAR%20BRONZING%20POWDER%20%2005
- Flormar Bronzing Powder 09, 11 г — бронзер | 14,1 AZN | Заказать: https://e-push-ai.vercel.app/api/go?to=https%3A%2F%2Fwa.me%2F994514553797%3Ftext%3DSalam%2521%2520Makiyaj%2520almaq%2520ist%25C9%2599yir%25C9%2599m%253A%2520FLORMAR%2520BRONZING%2520POWDER%2520%252009&t=FLORMAR%20BRONZING%20POWDER%20%2009
- Flormar Compact Powder 089, 11 г — компактная пудра | 11,8 AZN | Заказать: https://e-push-ai.vercel.app/api/go?to=https%3A%2F%2Fwa.me%2F994514553797%3Ftext%3DSalam%2521%2520Makiyaj%2520almaq%2520ist%25C9%2599yir%25C9%2599m%253A%2520FLORMAR%2520COMPACT%2520POWDER%2520%2520089&t=FLORMAR%20COMPACT%20POWDER%20%20089
- Flormar Compact Powder 092, 11 г — компактная пудра | 11,8 AZN | Заказать: https://e-push-ai.vercel.app/api/go?to=https%3A%2F%2Fwa.me%2F994514553797%3Ftext%3DSalam%2521%2520Makiyaj%2520almaq%2520ist%25C9%2599yir%25C9%2599m%253A%2520FLORMAR%2520COMPACT%2520POWDER%2520%2520092&t=FLORMAR%20COMPACT%20POWDER%20%20092
- Flormar Compact Powder 095 | 11,8 AZN | Заказать: https://e-push-ai.vercel.app/api/go?to=https%3A%2F%2Fwa.me%2F994514553797%3Ftext%3DSalam%2521%2520Makiyaj%2520almaq%2520ist%25C9%2599yir%25C9%2599m%253A%2520FLORMAR%2520COMPACT%2520POWDER%2520%2520095&t=FLORMAR%20COMPACT%20POWDER%20%20095
- Flormar Compact Powder 096, 11 г — компактная пудра | 11,8 AZN | Заказать: https://e-push-ai.vercel.app/api/go?to=https%3A%2F%2Fwa.me%2F994514553797%3Ftext%3DSalam%2521%2520Makiyaj%2520almaq%2520ist%25C9%2599yir%25C9%2599m%253A%2520FLORMAR%2520COMPACT%2520POWDER%2520%2520096&t=FLORMAR%20COMPACT%20POWDER%20%20096
- Flormar Compact Powder 097, 11 г — компактная пудра | 11,8 AZN | Заказать: https://e-push-ai.vercel.app/api/go?to=https%3A%2F%2Fwa.me%2F994514553797%3Ftext%3DSalam%2521%2520Makiyaj%2520almaq%2520ist%25C9%2599yir%25C9%2599m%253A%2520FLORMAR%2520COMPACT%2520POWDER%2520%2520097&t=FLORMAR%20COMPACT%20POWDER%20%20097
- Flormar Compact Powder 098, 11 г — компактная пудра | 11,8 AZN | Заказать: https://e-push-ai.vercel.app/api/go?to=https%3A%2F%2Fwa.me%2F994514553797%3Ftext%3DSalam%2521%2520Makiyaj%2520almaq%2520ist%25C9%2599yir%25C9%2599m%253A%2520FLORMAR%2520COMPACT%2520POWDER%2520%2520098&t=FLORMAR%20COMPACT%20POWDER%20%20098
- Flormar Contour Stick 02, 10 г — корректор | 13,9 AZN | Заказать: https://e-push-ai.vercel.app/api/go?to=https%3A%2F%2Fwa.me%2F994514553797%3Ftext%3DSalam%2521%2520Makiyaj%2520almaq%2520ist%25C9%2599yir%25C9%2599m%253A%2520FLORMAR%2520CONTOUR%2520STICK%252002&t=FLORMAR%20CONTOUR%20STICK%2002
- Flormar Contour Stick CST-03 Medium Deep, 10 г — корректор | 13,9 AZN | Заказать: https://e-push-ai.vercel.app/api/go?to=https%3A%2F%2Fwa.me%2F994514553797%3Ftext%3DSalam%2521%2520Makiyaj%2520almaq%2520ist%25C9%2599yir%25C9%2599m%253A%2520FLORMAR%2520CONTOUR%2520STICK%2520CST-03%2520MEDIUM%2520DEEP&t=FLORMAR%20CONTOUR%20STICK%20CST-03%20MEDIUM%20DEEP
- Flormar Dipliner Black, 3.5 мл — подводка | 5,4 AZN | Заказать: https://e-push-ai.vercel.app/api/go?to=https%3A%2F%2Fwa.me%2F994514553797%3Ftext%3DSalam%2521%2520Makiyaj%2520almaq%2520ist%25C9%2599yir%25C9%2599m%253A%2520FLORMAR%2520DIPLINER%2520BLACK%25203.5ML&t=FLORMAR%20DIPLINER%20BLACK%203.5ML
- Flormar Extreme Tattoo GEL Pencil 02, 1.2 г — карандаш для глаз | 10,5 AZN | Заказать: https://e-push-ai.vercel.app/api/go?to=https%3A%2F%2Fwa.me%2F994514553797%3Ftext%3DSalam%2521%2520Makiyaj%2520almaq%2520ist%25C9%2599yir%25C9%2599m%253A%2520FLORMAR%2520EXTREME%2520TATTOO%2520GEL%2520PENCIL%252002&t=FLORMAR%20EXTREME%20TATTOO%20GEL%20PENCIL%2002
- Flormar Extreme Tattoo GEL Pencil 05, 1.2 г — карандаш для глаз | 10,5 AZN | Заказать: https://e-push-ai.vercel.app/api/go?to=https%3A%2F%2Fwa.me%2F994514553797%3Ftext%3DSalam%2521%2520Makiyaj%2520almaq%2520ist%25C9%2599yir%25C9%2599m%253A%2520FLORMAR%2520EXTREME%2520TATTOO%2520GEL%2520PENCIL%252005&t=FLORMAR%20EXTREME%20TATTOO%20GEL%20PENCIL%2005
